nit,razon_social,supervisor,region,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales,ganancia_perdida,total_activos,total_pasivos,total_patrimonio,ano_de_corte,total_impuestos
800209481,GUIRNALDAS/INNOVAFLORA S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA -CUNDINAMARCA,3290,MANUFACTURA,0.08,0.01,0.16,0.04,0.12,2022,42415171.254237995
800209530,CONSTRUCTORA FG SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4290,CONSTRUCCIÓN,0.06,0,0.06,0.03,0.04,2022,23391888.622931004
800209559,OPCION TEMPORAL Y CIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7820,SERVICIOS,0.02,0,0,0,0,2022,42415171.254237995
800209804,LABORATORIO MEDICO LAS AMERICAS LTDA.,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,8691,SERVICIOS,0.05,0.01,0.04,0.02,0.02,2022,12390714.682238001
800209891,CLINICA ASOTRAUMA SAS,SUPERSALUD,Otros,TOLIMA,IBAGUE-TOLIMA,8610,SERVICIOS,0.08,0.01,0.05,0.02,0.03,2022,3869748.225561
800209893,DISPETROCOM LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,0.08,0,0.02,0.02,0,2022,42415171.254237995
800210144,IINGENIO MARIA LUISA S.A.INGENIO MARIA LUISA S.A. ELABORACION Y COMERCIALIZACION DE AZUCAR C1071 - ELABORACIÓN Y REFINACIÓN DE AZÚCAR 01. ANUAL 1993-08-27 2999-12-31 ACTIVA 01. SOCIEDAD ANÓNIMA 07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANT,SUPERSOCIEDADES,Costa Pacífica,VALLE,FLORIDA-VALLE,1071,MANUFACTURA,0.08,0.01,0.39,0.08,0.3,2022,25103649.530394
800210309,DIPROCON INGENIERIA SAS,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,4111,CONSTRUCCIÓN,0.02,0,0.01,0.01,0,2022,3307741.356668
800210375,PROCARDIO SERVICIOS MEDICOS INTEGRALES S.A.S.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8610,SERVICIOS,0.02,-0.01,0.03,0.04,-0.01,2022,42415171.254237995
800210409,PROMOTORA Y OPERADORA DE HOTELES PROMOTEL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,5511,SERVICIOS,0.02,0,0.02,0.01,0,2022,42415171.254237995
800210453,MULTISOFTWARE TRANSACCIONAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4741,COMERCIO,0.02,0,0.01,0.01,0,2022,42415171.254237995
800210526,SCHRYVER DE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,5229,SERVICIOS,0.04,0,0.01,0.01,0,2022,42415171.254237995
800210556,PASAR EXPRESS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,5320,SERVICIOS,0.05,0.01,0.02,0.02,0,2022,42415171.254237995
